time                 5000 | input 0 | state 00 | output 0 
time                15000 | input 0 | state 00 | output 0 
time                25000 | input 1 | state 01 | output 0 
time                35000 | input 0 | state 10 | output 0 
time                45000 | input 1 | state 11 | output 1 
time                55000 | input 1 | state 01 | output 0 
time                65000 | input 0 | state 10 | output 0 
time                75000 | input 1 | state 11 | output 1 
time                85000 | input 1 | state 01 | output 0 
time                95000 | input 1 | state 01 | output 0 
time               105000 | input 0 | state 10 | output 0 
time               115000 | input 1 | state 11 | output 1 
time               125000 | input 1 | state 01 | output 0 
time               135000 | input 1 | state 01 | output 0 
$finish called at time : 140 ns
